Unsuccessful Combination Attempt Number,Reagent Role,Reagent,Mass,Volume
,,,mg,mL
,Solvent,Hexanes,,7.5
,,,,
129,Monomer,Azelaoyl chloride,1000,
,Monomer,"2,2′-Thiodiethanol",493.4557247,
,Base,NaOH,209.9825944,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
130,Monomer,Malonyl Chloride,782.1864595,
,Monomer,Guaiacol glyceryl ether,1000,
,Base,NaOH,262.3151044,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
131,Monomer,Azelaoyl chloride,1000,
,Monomer,Dianhydro-D-glucitol,590.0145787,
,Base,NaOH,209.9825944,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
132,Monomer,Azelaoyl chloride,1000,
,Monomer,"4,4′-Sulfonylbis(2-methylphenol)",1123.975753,
,Base,NaOH,209.9825944,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
133,Monomer,Malonyl Chloride,1268.884524,
,Monomer,"2,2′-Thiodiethanol",1000,
,Base,NaOH,425.5348228,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
134,Monomer,Azelaoyl chloride,583.0492112,
,Monomer,"4,4'-Methylenebis(2,6-di-tert-butylphenol)",1000,
,Base,pyridine,242.1238521,
,Solvent,DMF,,7.5
,Solvent,Hexanes,,7.5
,,,,
135,Monomer,Azelaoyl chloride,922.7538662,
,Monomer,"4,4′-Cyclohexylidenebisphenol",1000,
,Base,pyridine,383.1935905,
,Solvent,DMF,,7.5
,Solvent,Hexanes,,7.5
,,,,
136,Monomer,Suberoyl chloride,500,
,Monomer,"2,2′-Thiodiethanol",263.1148282,
,Base,NaOH,111.9645218,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
137,Monomer,Suberoyl chloride,500,
,Monomer,"cis-2-Butene-1,4-diol",189.7294993,
,Base,NaOH,111.9645218,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
138,Monomer,Malonyl Chloride,1061.225188,
,Monomer,Dianhydro-D-glucitol,1000,
,Base,NaOH,355.8939083,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
139,Monomer,Dimethylmalonyl chloride,1000,
,Monomer,"2,2′-Thiodiethanol",657.2499745,
,Base,NaOH,279.6827514,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
140,Monomer,Dimethylcarbonate,1852.1682,
,Monomer,"1,4-dithiane-2,5-diol",1000,
,Catalyst,DMAP,8.026938239,
,,,,
141,Monomer,Dimethylcarbonate,1928.972218,
,Monomer,Dianhydro-D-glucitol,1000,
,Catalyst,DMAP,8.35979198,
,,,,
142,Monomer,Dimethylcarbonate,1513.882176,
,Monomer,"Biphenyl-2,2′-diol",1000,
,Catalyst,DMAP,6.560872134,
,,,,
143,Monomer,Dimethylcarbonate,2385.34439,
,Monomer,"2,5-hexanediol(+isomers)",1000,
,Catalyst,DMAP,10.33762058,
,,,,
144,Monomer,Dimethylcarbonate,3704.823236,
,Monomer,"1,2-propanediol",1000,
,Catalyst,DMAP,16.05598633,
,,,,
145,Monomer,Dimethylcarbonate,3128.016777,
,Monomer,"2,3-Butanediol",1000,
,Catalyst,DMAP,13.55621886,
,,,,
146,Monomer,Dimethylcarbonate,1877.205833,
,Monomer,triethylene glycol,1000,
,Catalyst,DMAP,8.135446494,
,,,,
147,Monomer,Dimethylcarbonate,1466.319896,
,Monomer,Tripropylene glycol,1000,
,Catalyst,DMAP,6.354746424,
,,,,
148,Monomer,Dimethylcarbonate,2560.399637,
,Monomer,Resorcinol,1000,
,Catalyst,DMAP,11.09627611,
,,,,
149,Monomer,Dimethylcarbonate,4541.646528,
,Monomer,ethylene glycol,1000,
,Catalyst,DMAP,19.6826164,
,,,,
150,Monomer,Dimethylcarbonate,2385.546247,
,Monomer,"3-methyl-1,5-pentanediol",1000,
,Catalyst,DMAP,10.33849539,
,,,,
151,Monomer,Dimethylcarbonate,1929.104222,
,Monomer,"2,2,4-Trimethyl-1,3-pentanediol",1000,
,Catalyst,DMAP,8.360364059,
,,,,
152,Monomer,Dimethylcarbonate,827.5,
,Monomer,"trans-p-menth-6-ene-2,8diol",470,
,Catalyst,DMAP,3.5,
,,,,
153,Monomer,Dimethylcarbonate,1982.419128,
,Monomer,"2,5-dimethyl-3-hexyne-2,5-diol",1000,
,Catalyst,DMAP,8.591420534,
,,,,
154,monomer,[(Carboxymethyl)(methyl)amino]acetic acid,1244.813,
,monomer,ethylene glycol,630.7393,
,catalyst,Ti(Opr)4,2.4,
,,,,
155,monomer,[(Carboxymethyl)(methyl)amino]acetic acid,1244.813,
,monomer,"1,3-Propanediol",708.7729267,
,catalyst,Ti(Opr)4,2.4,
,,,,
156,monomer,Adipic acid,1237.53,
,monomer,Dianhydro-D-glucitol,1237.19,
,catalyst,Ti(Opr)4,2.4,
,,,,
157,monomer,succinic acid,1000000,
,monomer,pinacol,1101,
,catalyst,Ti(Opr)4,2.4,
,,,,
158,monomer,Adipic acid,1237.531,
,monomer,"cis-2-Butene-1,4-diol",783.432,
,catalyst,Ti(Opr)4,2.4,
,,,,
159,monomer,Succinic acid,1000000,
,monomer,"1,2-Propanediol",773.3085,
,catalyst,Ti(Opr)4,2.4,
,,,,
160,monomer,Malonic Acid,881.2,
,monomer,ethylene glycol,630.7,
,catalyst,Ti(Opr)4,2.4,
,,,,
161,monomer,Malonic Acid,881.2,
,monomer,"1,9-nonanediol",1357,
,catalyst,Ti(Opr)4,2.4,
,,,,
162,monomer,Malonic Acid,881.2,
,monomer,"1,10-decanediol",1475.82,
,catalyst,Ti(Opr)4,2.4,
,,,,
163,monomer,Malonic Acid,881.2,
,monomer,"1,3-Propanediol",708.8,
,catalyst,Ti(Opr)4,2.4,
,,,,
164,monomer,Malonic Acid,881.2,
,monomer,"1,4-Butanediol",801.9,
,catalyst,Ti(Opr)4,2.4,
,,,,
165,monomer,Malonic Acid,881.2,
,monomer,"1,5-pentanediol",881.3,
,catalyst,Ti(Opr)4,2.4,
,,,,
166,monomer,Malonic Acid,881.2,
,monomer,"1,6-Hexanediol",1000700,
,catalyst,Ti(Opr)4,2.4,
,,,,
167,monomer,Malonic Acid,881.2,
,monomer,"2,5-hexanediol(+isomers)",1000.7,
,catalyst,Ti(Opr)4,2.4,
,,,,
168,monomer,Malonic Acid,881.2,
,monomer,"3-methyl-1,5-pentanediol",1000.7,
,catalyst,Ti(Opr)4,2.4,
,,,,
169,monomer,Malonic Acid,881.2,
,monomer,"1,7-heptanediol",1119.5,
,catalyst,Ti(Opr)4,2.4,
,,,,
170,monomer,Malonic Acid,881.2,
,monomer,"1,8-octanediol",1238.3,
,catalyst,Ti(Opr)4,2.4,
,,,,
171,monomer,[(Carboxymethyl)(methyl)amino]acetic acid,1000,
,monomer,"1,9-nonanediol",1204,
,catalyst,Ti(Opr)4,,
,,,,0.05
172,monomer,"2,6-Naphthalenedicarboxylic Acid",1000,
,monomer,"1,10-decanediol",806,
,catalyst,Ti(Opr)4,,
,,,,0.05
173,monomer,[(Carboxymethyl)(methyl)amino]acetic acid,739,
,monomer,Diethylene Glycol,589.1879221,
,catalyst,Ti(Opr)4,,
,,,,0.05
174,monomer,"2,2′-[ethylenebis(oxy)] bisacetic acid",1000,
,monomer,Diethylene Glycol,595.7112419,
,catalyst,Ti(Opr)4,,
,,,,0.05
175,monomer,Diglycolic acid,1000,
,monomer,Diethylene Glycol,791.4087553,
,catalyst,Ti(Opr)4,,
,,,,0.05
176,monomer,Succinic acid,1000,
,monomer,Diethylene Glycol,898.636633,
,catalyst,Ti(Opr)4,,
,,,,0.05
177,monomer,pimelic acid,1000,
,monomer,Triethylene Glycol,1031.322969,
,catalyst,Ti(Opr)4,,
,,,,0.05
178,monomer,glutaric acid,1000,
,monomer,Triethylene Glycol,1250.280052,
,catalyst,Ti(Opr)4,,
,,,,0.05
179,monomer,"2,2′-[ethylenebis(oxy)] bisacetic acid",1000,
,monomer,Triethylene Glycol,927.2875322,
,catalyst,Ti(Opr)4,,
,,,,0.05
180,monomer,Diglycolic acid,1000,
,monomer,Triethylene Glycol,1231.911403,
,catalyst,Ti(Opr)4,,
,,,,0.05
181,monomer,Isophthalic acid,2000,
,monomer,Triethylene Glycol,1988.647445,
,catalyst,Ti(Opr)4,,
,,,,0.05
182,monomer,Succinic acid,1000,
,monomer,Triethylene Glycol,1398.822932,
,catalyst,Ti(Opr)4,,
,,,,0.05
183,monomer,"2,6-Naphthalenedicarboxylic Acid",1000,
,monomer,Tripropylene glycol,889.2558547,
,catalyst,Ti(Opr)4,,
,,,,0.05
184,monomer,"2,2′-[ethylenebis(oxy)] bisacetic acid",1000,
,monomer,"2-Methyl-1,3-propanediol",640,
,catalyst,Ti(Opr)4,,
,,,,0.05
185,monomer,"2,2′-[ethylenebis(oxy)] bisacetic acid",1000,
,monomer,Tripropylene glycol,1133.16774,
,catalyst,Ti(Opr)4,,
,,,,0.05
186,monomer,Diglycolic acid,1000,
,monomer,Tripropylene glycol,1505.425461,
,catalyst,Ti(Opr)4,,
,,,,0.05
187,monomer,Isophthalic acid,2000,
,monomer,Tripropylene glycol,2430.175164,
,catalyst,Ti(Opr)4,,
,,,,0.05
188,monomer,Adipic acid,1000,
,monomer,Tripropylene glycol,1381.295333,
,catalyst,Ti(Opr)4,,
,,,,0.05
189,monomer,[(Carboxymethyl)(methyl)amino]acetic acid,1000,
,monomer,"2-Methyl-1,3-propanediol",1500,
,catalyst,Ti(Opr)4,,
,,,,0.05
190a,monomer,[(Carboxymethyl)(methyl)amino]acetic acid,1000,
,monomer,"2-Methyl-1,3-propanediol",673.771495,
,catalyst,Ti(Opr)4,,
,,,,0.05
190b,monomer,"2,2′-[ethylenebis(oxy)] bisacetic acid",1000,
,monomer,Dipropylene Glycol,790.8302506,
,catalyst,Ti(Opr)4,,
,,,,0.05
191,monomer,Isophthalic acid,2000,
,monomer,Dipropylene Glycol,1696.00313,
,catalyst,Ti(Opr)4,,
,,,,0.05
192,monomer,"2,6-Naphthalenedicarboxylic Acid",1000,
,monomer,"2-Methyl-1,3-propanediol",540,
,catalyst,Ti(Opr)4,,
,,,,0.05
193,monomer,Succinic acid,1000,
,monomer,Dipropylene Glycol,1136.16733,
,catalyst,Ti(Opr)4,,
,,,,0.05
194,monomer,Isophthalic acid,2000,
,monomer,Guaiacol glyceryl ether,2386.323963,
,catalyst,Ti(Opr)4,,
,,,,0.05
195,monomer,sebacic acid,1000,
,monomer,"1,4-Dithiane-2,5-diol",790.368356,
,catalyst,Ti(Opr)4,,
,,,,0.05
196,monomer,"quinoline-2,4-dicarboxylic acid",1000,
,monomer,Diethylene Glycol,537.4896399,
,catalyst,Ti(Opr)4,,
,,,,0.05
197,monomer,Adipic acid,1000,
,monomer,Dianhydro-D-glucitol,1050,
,catalyst,Ti(Opr)4,,
,,,,0.05
198,monomer,Isophthalic acid,1000,
,monomer,"2-Methyl-1,3-propanediol",596.713417,
,catalyst,Ti(Opr)4,,
,,,,0.05
199,monomer,"2,6-Naphthalenedicarboxylic Acid",1000,
,monomer,"3-methyl-1,5-pentanediol",601.313659,
,catalyst,Ti(Opr)4,,
,,,,0.05
200,monomer,"2,6-Naphthalenedicarboxylic Acid",1000,
,monomer,"1,4-Cyclohexanediol",591.035663,
,catalyst,Ti(Opr)4,,
,,,,0.05
201,monomer,"2,6-Naphthalenedicarboxylic Acid",1000,
,monomer,"2,2-Diethyl-1,3-propanediol",672.6490587,
,catalyst,Ti(Opr)4,,
,,,,0.05
202,monomer,glutaric acid,1000,
,monomer,"2,3-Butanediol",716.212534,
,catalyst,Ti(Opr)4,,
,,,,0.05
203,monomer,"2,5-Furandicarboxylic Acid",800,
,monomer,ethylene glycol,349.9365751,
,catalyst,Ti(Opr)4,,
,,,,0.05
204,monomer,"2,5-Furandicarboxylic Acid",800,
,monomer,"2,3-Butanediol",508.0761099,
,catalyst,Ti(Opr)4,,
,,,,0.05
205,monomer,"2,5-Furandicarboxylic Acid",800,
,monomer,"1,6-Hexanediol",635.9331155,
,catalyst,Ti(Opr)4,,
,,,,0.05
206,monomer,"2,2′-[ethylenebis(oxy)] bisacetic acid",1000,
,monomer,"2,3-Butanediol",531.188953,
,catalyst,Ti(Opr)4,,
,,,,0.05
207,monomer,"2,6-Naphthalenedicarboxylic Acid",1000,
,monomer,"2,2-Dimethyl-1,3-propanediol",506,
,catalyst,Ti(Opr)4,,
,,,,0.05
208,monomer,pimelic acid,1000,
,monomer,"2,3-Butanediol",603,
,catalyst,Ti(Opr)4,,
,,,,0.05
209,monomer,"2,6-Naphthalenedicarboxylic Acid",1000,
,monomer,"2,3-Butanediol",437.703989,
,catalyst,Ti(Opr)4,,
,,,,0.05
210,monomer,Isophthalic acid,2000,
,monomer,"4,4′-Isopropylidenedicyclohexanol",2923.060254,
,catalyst,Ti(Opr)4,0,
,,,,0.05
211,monomer,"2,2′-[ethylenebis(oxy)] bisacetic acid",1000,
,monomer,ethylene glycol,366,
,catalyst,Ti(Opr)4,0,
,,,,0.05
212,monomer,"2,2′-[ethylenebis(oxy)] bisacetic acid",1000,
,monomer,"1,2-Propanediol",449,
,catalyst,Ti(Opr)4,0,
,,,,0.05
213,monomer,[(Carboxymethyl)(methyl)amino]acetic acid,1000,
,monomer,"1,2-Propanediol",600,
,catalyst,Ti(Opr)4,0,
,,,,0.05
214,Monomer,Lactide,631.3737515,
,Monomer,Epsilon-Caprolactone,1000,
,Catalyst,TBD,9.146661994,
,Solvent,"THF, Anhydrous",,
,Initiator,Benzyl Alcohol,18.94865954,6.5
,,,,
215,Quenching agent,Benzoic Acid,43.80585247,
,Monomer,e-Decalactone,506.0036854,
,Monomer,Massoia Lactone,1000,
,Catalyst,triphenyl bismuth,78.51572252,
,Co-Catalyst,tin octoate,24.07418415,
,,,,
216,Monomer,e-caprolactone,339.237948,
,Monomer,Massoia Lactone,1000,
,Catalyst,triphenyl bismuth,78.51572252,
,Co-Catalyst,tin octoate,24.07418415,
,,,,
217,Monomer,Undecanoic delta-lactone,547.7025501,
,Monomer,massoia lactone,1000,
,Catalyst,Triphenyl Bismuth,78.51572252,
,Co-Catalyst,tin octoate,24.07418415,
,,,,
218,Monomer,delta-Nonalactone,464.3048208,
,Monomer,massoia lactone,1000,
,Catalyst,Triphenyl Bismuth,78.51572252,
,Co-Catalyst,tin octoate,24.07418415,
,,,,
219,Monomer,pentadecanolide,714.4385662,
,Monomer,massoia lactone,1000,
,Catalyst,Triphenyl Bismuth,78.51572252,
,Co-Catalyst,tin octoate,24.07418415,
,,,,
220,Monomer,B-butyrolactone,255.86994,
,Monomer,massoia lactone,1000,
,Catalyst,Triphenyl Bismuth,78.51572252,
,Co-Catalyst,tin octoate,24.07418415,
,,,,
221,Monomer,5-Dodecanolide,589.3716935,
,Monomer,massoia lactone,1000,
,Catalyst,Triphenyl Bismuth,78.51572252,
,Co-Catalyst,tin octoate,24.07418415,
,,,,
222,Monomer,16--hexadecanolide,756.1374309,
,Monomer,massoia lactone,1000,
,Catalyst,Triphenyl Bismuth,78.51572252,
,Co-Catalyst,tin octoate,24.07418415,
,,,,
223,Monomer,massoia lactone,456.4521381,
,Monomer,Undecanoic delta-lactone,1000,
,Catalyst,triphenyl bismuth,71.67733883,
,Co-Catalyst,tin octoate,21.97742566,
,,,,
224,Monomer,massoia lactone,538.4393804,
,Monomer,Delta-nonalactone,1000,
,Catalyst,triphenyl bismuth,84.55191397,
,Co-Catalyst,tin octoate,25.9249776,
,,,,
225,Monomer,massoia lactone,977.0588919,
,Monomer,B-butyrolactone,1000,
,Catalyst,triphenyl bismuth,153.4289697,
,Co-Catalyst,tin octoate,47.04379138,
,,,,
226,Monomer,massoia lactone,424.1805345,
,Monomer,5-Dodecanolide,1000,
,Catalyst,triphenyl bismuth,66.6096823,
,Co-Catalyst,tin octoate,20.42360061,
,,,,
227,Monomer,delta-Valerolactone,297.5688046,
,Monomer,massoia lactone,1000,
,Catalyst,triphenyl bismuth,78.51572252,
,Co-Catalyst,tin octoate,24.07418415,
,,,,
228,Monomer,Undecanoic delta-lactone,1000,
,Catalyst,TBD,3.776861298,
,Solvent,"THF, Anhydrous",,6.5
,Initiator,Benzyl Alcohol,11.73648795,
,Quenching agent,Benzoic Acid,27.13262427,
,,,,
229,Monomer,Undecanoic delta-lactone,1000,
,Catalyst,Triphenyl Bismuth,71.67,
,,,,
230,Monomer,delta-Nonalactone,1000,
,Catalyst,TBD,4.455255409,
,Solvent,"THF, Anhydrous",,
,Initiator,Benzyl Alcohol,13.84457816,
,Quenching agent,Benzoic Acid,32.00614518,
,,,,
231,Monomer,delta-Nonalactone,1000,
,Catalyst,Triphenyl Bismuth,84.55,
,,,,
232,Monomer,Massoia Lactone,1000,
,Catalyst,Triphenyl Bismuth,78.51,
,,,,
233,Monomer,e-Decalactone,590.6126414,
,Monomer,lactide,1000,
,Catalyst,triphenyl bismuth,91.64434885,
,Co-Catalyst,tin octoate,28.09963228,
,,,,
234,Monomer,Massoia Lactone,583.6050787,
,Monomer,lactide,1000,
,Catalyst,triphenyl bismuth,91.64434885,
,Co-Catalyst,tin octoate,28.09963228,
,,,,
235,Monomer,Lactide,1000,
,Catalyst,TBD,4.828973843,
,Solvent,"THF, Anhydrous",,
,Initiator,Benzyl Alcohol,15.00589745,
,Quenching agent,Benzoic Acid,34.69090405,
,,,,
236,Monomer,lactide,493.1230327,
,Monomer,coumarin,1000,6.5
,Catalyst,triphenyl bismuth,90.38387847,
,Co-Catalyst,tin octoate,27.71315177,
,,,,
237,Monomer,coumarin,434.3458361,
,Monomer,Massoia Lactone,1000,
,Catalyst,triphenyl bismuth,78.51572252,
,Co-Catalyst,tin octoate,24.07418415,
,,,,
238,Monomer,coumarin,396.516171,
,Monomer,Undecanoic delta-lactone,1000,
,Catalyst,triphenyl bismuth,71.67733883,
,Co-Catalyst,tin octoate,21.97742566,
,,,,
239,Monomer,coumarin,467.7378057,
,Monomer,Delta-nonalactone,1000,
,Catalyst,triphenyl bismuth,84.55191397,
,Co-Catalyst,tin octoate,25.9249776,
,,,,
240,Monomer,coumarin,368.4820978,
,Monomer,5-Dodecanolide,1000,
,Catalyst,triphenyl bismuth,66.6096823,
,Co-Catalyst,tin octoate,20.42360061,
,,,,
241,Monomer,Phthaloyl chloride,1126.64,
,Monomer,Guaiacol glyceryl ether,1000.00,
,Base,NaOH,262.32,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
242,Monomer,lactide,837.09,
,Monomer,B-butryolactone,1000.00,
,Catalyst,triphenyl bismuth,153.43,
,Co-Catalyst,tin octoate,47.04,
