Unsuccessful Combination Attempt Number,Reagent Role,Reagent,Mass,Volume
,,,mg,mL
,Monomer,dipropylene glycol,600.791682,
,Base,NaOH,232.8301735,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
31,Monomer,Phthaloyl chloride,1000,
,Monomer,Tripropylene glycol,860.8645812,
,Base,NaOH,232.8301735,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
32,Monomer,Phthaloyl chloride,1000,
,Monomer,Resorcinol,493.010093,
,Base,NaOH,232.8301735,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
33,Monomer,Diglycolyl chloride,661.338303,
,Monomer,"4,4′-Isopropylidenebis(2,6-dimethylphenol)",1000,
,Base,pyridine,361.5809276,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
34,Monomer,Phthaloyl chloride,1000,
,Monomer,"2-Butyne-1,4-diol",716.4542678,
,Base,NaOH,232.8301735,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
35,Monomer,Phthaloyl chloride,3597.90559,
,Monomer,ethylene glycol,1000,
,Base,NaOH,837.7009828,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
36,Monomer,Phthaloyl chloride,1000,
,Monomer,"1,4-Butanediol",403.551822,
,Base,NaOH,232.8301735,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
37,Monomer,Phthaloyl chloride,1000,
,Monomer,"1,6-Hexanediol",529.1462552,
,Base,NaOH,232.8301735,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
38,Monomer,Phthaloyl chloride,1000,
,Monomer,"2-Methyl-1,3,propanediol",591.9703388,
,Base,NaOH,232.8301735,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
39,Monomer,Phthaloyl chloride,1000,
,Monomer,"2-Butyl-2-ethyl-1,3-propanediol",717.5737276,
,Base,NaOH,232.8301735,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
40,Monomer,Diglycolyl chloride,1000,
,Monomer,dipropylene glycol,713.3742383,
,Base,pyridine,546.7412457,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
41,Monomer,Diglycolyl chloride,1000,
,Monomer,"Biphenyl-2,2′-diol",990.0679505,
,Base,pyridine,546.7412457,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
42,Monomer,Diglycolyl chloride,1000,
,Monomer,"2-Butyne-1,4-diol",850.7108753,
,Base,pyridine,546.7412457,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
43,Monomer,Diglycolyl chloride,1000,
,Monomer,"2,5-dimethyl-3-hexyne-2,5-diol",756.0692904,
,Base,pyridine,546.7412457,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
44,Monomer,Diglycolyl chloride,1000,
