trimer_smiles,biodegradability_label
OC(CO)COC(CCCCC(OCC(O)COC(CCCCC(OCC(O)COC(CCCCC(O)=O)=O)=O)=O)=O)=O,1
OC(CO)COC(CCCCCCCC(OCC(O)COC(CCCCCCCC(OCC(O)COC(CCCCCCCC(O)=O)=O)=O)=O)=O)=O,1
OC(CO)COC(CCCCCCCCC(OCC(O)COC(CCCCCCCCC(OCC(O)COC(CCCCCCCCC(O)=O)=O)=O)=O)=O)=O,1
OC(CO)COCC(O)COC(CCC(OCC(O)COCC(O)COC(CCC(OCC(O)COCC(O)COC(CCC(O)=O)=O)=O)=O)=O)=O,1
OC(CO)COCC(O)COC(CCCCC(OCC(O)COCC(O)COC(CCCCC(OCC(O)COCC(O)COC(CCCCC(O)=O)=O)=O)=O)=O)=O,0
OC(CO)COCC(O)COC(CCCCCCCC(OCC(O)COCC(O)COC(CCCCCCCC(OCC(O)COCC(O)COC(CCCCCCCC(O)=O)=O)=O)=O)=O)=O,1
OC(COC(C1=CC=C(C(OCC(COCC(COC(C2=CC=C(C(OCC(COCC(COC(C3=CC=C(C(O)=O)O3)=O)O)O)=O)O2)=O)O)O)=O)O1)=O)COCC(O)CO,1
OC(COC(CCCCCCCC(OCC(COCC(COC(CCCCCCCC(OCC(COCC(COC(CCCCCCCC(O)=O)=O)O)O)=O)=O)O)O)=O)=O)COCC(O)CO,1
OC(COC(CCCCCCCCC(OCC(COCC(COC(CCCCCCCCC(OCC(COCC(COC(CCCCCCCCC(O)=O)=O)O)O)=O)=O)O)O)=O)=O)COCC(O)CO,1
OC(COCC(CO)O)COC(CCCCCCC(OCC(O)COCC(O)COC(CCCCCCC(OCC(O)COCC(O)COC(CCCCCCC(O)=O)=O)=O)=O)=O)=O,1
OCCCCC(=O)OCCCCC(=O)OCCCCC(=O)OCCCCC(=O)OCCCCC(=O)OCCCCC(=O)O,0
OCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)O,0
OCCCOC(C1=CC=C(C(OCCCOC(C2=CC=C(C(OCCCOC(C3=CC=C(C(O)=O)O3)=O)=O)O2)=O)=O)O1)=O,1
OCCCOC(CCC(OCCCOC(CCC(OCCCOC(CCC(O)=O)=O)=O)=O)=O)=O,1
OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(CCC(OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(CCC(OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(CCC(O)=O)=O)=O)=O)=O)=O,0
OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(CCCCCCC(OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(CCCCCCC(OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(CCCCCCC(O)=O)=O)=O)=O)=O)=O,1
OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(CCCCCCCC(OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(CCCCCCCC(OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(CCCCCCCC(O)=O)=O)=O)=O)=O)=O,1
OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(CCCCCCCCC(OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(CCCCCCCCC(OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(CCCCCCCCC(O)=O)=O)=O)=O)=O)=O,1
