polymer_number,monomer_1,monomer_1_mass_mg,monomer_2,monomer_2_mass_mg,monomer_other,base_mass_mg_total,base_reagents,base_volume_ml_total,catalyst_mass_mg_total,catalyst_reagents,catalyst_volume_ml_total,co-catalyst_mass_mg_total,co-catalyst_reagents,co-catalyst_volume_ml_total,initiator_mass_mg_total,initiator_reagents,initiator_volume_ml_total,quenching agent_mass_mg_total,quenching agent_reagents,quenching agent_volume_ml_total,solvent_mass_mg_total,solvent_reagents,solvent_volume_ml_total,solubility,physical_state,biodegradability,solubility_label,biodegradability_label
101,Adipoyl Chloride,1000,Resorcinol,546.86,,258.26,NaOH,0,,,,,,,,,,,,,0,Water; cylcohexane,15,no,solid,yes,0,1
102,Adipoyl Chloride,1000,"Biphenyl-2,2′-diol",587.09,,258.26,NaOH,0,,,,,,,,,,,,,0,Water; cylcohexane,15,yes,fluid,no,1,0
103,Malonyl Chloride,619.51,Bis(4-hydroxyphenyl) Sulfone,1000,,207.76,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,no,0,0
104,Sebacoyl Chloride,375.35,"4,4′-(9-Fluorenylidene)diphenol",500,,146.73,pyridine,0,,,,,,,,,,,,,0,DMF; hexanes,15,yes,amorphous,no,1,0
105,Adipoyl Chloride,1000,"4,4′-Sulfonylbis(2-methylphenol)",1382.39,,258.26,NaOH,0,,,,,,,,,,,,,0,Water; cylcohexane,15,yes,crystalline,no,1,0
106,Adipoyl Chloride,881.92,Bisphenol A,1000,,227.76,NaOH,0,,,,,,,,,,,,,0,Water; cylcohexane,15,no,solid,yes,0,1
107,Adipoyl Chloride,581.1,"1,3-Bis[2-(4-hydroxyphenyl)-2-propyl]benzene",1000,,150.07,NaOH,0,,,,,,,,,,,,,0,Water; cylcohexane,15,yes,crystalline,no,1,0
108,Adipoyl Chloride,707.95,"4,4′-Isopropylidenebis(2,6-dimethylphenol)",1000,,182.83,NaOH,0,,,,,,,,,,,,,0,Water; cylcohexane,15,no,solid,no,0,0
109,Adipoyl Chloride,693.39,"4,4′-(alpha-Methylbenzylidene)bisphenol",1000,,179.07,NaOH,0,,,,,,,,,,,,,0,Water; cylcohexane,15,no,solid,yes,0,1
110,Adipoyl Chloride,750.26,"4,4′-Cyclohexylidenebisphenol",1000,,193.76,NaOH,0,,,,,,,,,,,,,0,Water; cylcohexane,15,no,solid,yes,0,1
111,Adipoyl Chloride,804.46,Bis(4-hydroxyphenyl) Sulfone,1000,,207.76,NaOH,0,,,,,,,,,,,,,0,Water; cylcohexane,15,no,solid,no,0,0
112,Adipoyl Chloride,2338.63,"2-Butyne-1,4-diol",1000,,603.97,NaOH,0,,,,,,,,,,,,,0,Water; cylcohexane,15,yes,crystalline,yes,1,1
