Polymer Number,Reagent Role,Reagent,Mass,Volume
,,,mg,mL
129,Monomer,Terephthaloyl Chloride,1528.56,
,Monomer,Dianhydro-D-glucitol,1000.00,
,Base,NaOH,355.89,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
130,Monomer,Malonyl Chloride,710.34,
,Monomer,"4,4′-Thiodiphenol",1000.00,
,Base,NaOH,238.22,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
131,Monomer,Terephthaloyl Chloride,1000.00,
,Monomer,"cis-2-Butene-1,4-diol",394.54,
,Base,NaOH,232.83,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
132,Monomer,Sebacoyl Chloride,980.26,
,Monomer,"4,4′-Cyclohexylidenebisphenol",1000.00,
,Base,pyridine,383.19,
,Solvent,DMF,,7.5
,Solvent,Hexanes,,7.5
,,,,
133,Monomer,Sebacoyl Chloride,918.74,
,Monomer,"(R)-(+)-1,1′-Binaphthyl-2,2′-diol",1000.00,
,Base,pyridine,359.14,
,Solvent,DMF,,7.5
,Solvent,Hexanes,,7.5
,,,,
134,Monomer,Sebacoyl Chloride,1000.00,
,Monomer,"4,4′-Sulfonylbis(2-methylphenol)",1058.03,
,Base,NaOH,197.66,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
135,Monomer,Azelaoyl chloride,1084.68,
,Monomer,Bisphenol A,1000.00,
,Base,NaOH,227.76,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
136,Monomer,Azelaoyl chloride,989.31,
,Monomer,"4,4'-Dihydroxydiphenylmethane",800.00,
,Base,NaOH,207.74,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
137,Monomer,Azelaoyl chloride,1134.47,
,Monomer,"4,4′-Thiodiphenol",1000.00,
,Base,NaOH,238.22,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
138,Monomer,Azelaoyl chloride,1000.00,
,Monomer,"1,4-Dithiane-2,5-diol",614.81,
,Base,NaOH,209.98,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
139,Monomer,Azelaoyl chloride,1000.00,
,Monomer,"cis-2-Butene-1,4-diol",355.83,
,Base,NaOH,209.98,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
140,Monomer,Azelaoyl chloride,1000.00,
,Monomer,Resorcinol,444.63,
,Base,NaOH,209.98,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
141,Monomer,Azelaoyl chloride,1000.00,
,Monomer,"Naphthalene-1,5-diol",646.15,
,Base,NaOH,209.98,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
142,Monomer,Azelaoyl chloride,1000.00,
,Monomer,"2,7-Naphthalenediol",646.15,
,Base,NaOH,209.98,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
143,Monomer,Azelaoyl chloride,1000.00,
,Monomer,"2-Butyne-1,4-diol",347.67,
,Base,NaOH,209.98,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
144,Monomer,Azelaoyl chloride,1000.00,
,Monomer,Guaiacol glyceryl ether,800.50,
,Base,NaOH,209.98,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
145,Monomer,Azelaoyl chloride,989.42,
,Monomer,Bis(4-hydroxyphenyl) Sulfone,1000.00,
,Base,NaOH,207.76,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
146,Monomer,Azelaoyl chloride,1000.00,
,Monomer,"Biphenyl-2,2′-diol",477.34,
,Base,NaOH,209.98,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
147,Monomer,Azelaoyl chloride,714.70,
,Monomer,"1,3-Bis[2-(4-hydroxyphenyl)-2-propyl]benzene",1000.00,
,Base,pyridine,296.79,
,Solvent,DMF,,7.5
,Solvent,Hexanes,,7.5
,,,,
148,Monomer,Azelaoyl chloride,852.80,
,Monomer,"4,4′-(alpha-Methylbenzylidene)bisphenol",1000.00,
,Base,pyridine,354.14,
,Solvent,DMF,,7.5
,Solvent,Hexanes,,7.5
,,,,
149,Monomer,Azelaoyl chloride,870.71,
,Monomer,"4,4′-Isopropylidenebis(2,6-dimethylphenol)",1000.00,
,Base,pyridine,361.58,
,Solvent,DMF,,7.5
,Solvent,Hexanes,,7.5
,,,,
150,Monomer,Azelaoyl chloride,706.66,
,Monomer,"4,4′-(9-Fluorenylidene)diphenol",1000.00,
,Base,pyridine,293.46,
,Solvent,DMF,,7.5
,Solvent,Hexanes,,7.5
,,,,
151,Monomer,Azelaoyl chloride,864.84,
,Monomer,"(R)-(+)-1,1′-Binaphthyl-2,2′-diol",1000.00,
,Base,pyridine,359.14,
,Solvent,DMF,,7.5
,Solvent,Hexanes,,7.5
,,,,
152,Monomer,Suberoyl chloride,406.85,
,Monomer,Bisphenol A,400.00,
,Base,NaOH,91.11,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
153,Monomer,Suberoyl chloride,463.85,
,Monomer,"4,4'-Dihydroxydiphenylmethane",400.00,
,Base,NaOH,103.87,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
154,Monomer,Suberoyl chloride,500.00,
,Monomer,"4,4′-Thiodiphenol",470.01,
,Base,NaOH,111.96,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
155,Monomer,Malonyl Chloride,1018.42,
,Monomer,"1,4-Dithiane-2,5-diol",1000.00,
,Base,NaOH,341.54,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
156,Monomer,Suberoyl chloride,500.00,
,Monomer,"1,4-Dithiane-2,5-diol",327.82,
,Base,NaOH,111.96,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
157,Monomer,Suberoyl chloride,500.00,
,Monomer,Resorcinol,237.08,
,Base,NaOH,111.96,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
158,Monomer,Suberoyl chloride,500.00,
,Monomer,"Naphthalene-1,5-diol",344.53,
,Base,NaOH,111.96,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
159,Monomer,Suberoyl chloride,500.00,
,Monomer,"2,7-Naphthalenediol",344.53,
,Base,NaOH,111.96,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
160,Monomer,Dimethylmalonyl chloride,814.36,
,Monomer,Bisphenol A,1000.00,
,Base,NaOH,227.76,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
161,Monomer,Dimethylmalonyl chloride,1000.00,
,Monomer,"Biphenyl-2,2′-diol",635.79,
,Base,NaOH,279.68,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
162,Monomer,Dimethylmalonyl chloride,851.75,
,Monomer,"4,4′-Thiodiphenol",1000.00,
,Base,NaOH,238.22,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
163,Monomer,Dimethylmalonyl chloride,1000.00,
,Monomer,"cis-2-Butene-1,4-diol",473.94,
,Base,NaOH,279.68,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
164,Monomer,Dimethylmalonyl chloride,500.00,
,Monomer,"Naphthalene-1,5-diol",430.31,
,Base,NaOH,139.84,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
165,Monomer,Terephthaloyl Chloride,1000.00,
,Monomer,"Biphenyl-2,2′-diol",833.82,
,Base,NaOH,232.83,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
166,Monomer,Terephthaloyl Chloride,1000.00,
,Monomer,"1,3-Propanediol",340.72,
,Base,NaOH,232.83,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
167,Monomer,Terephthaloyl Chloride,1000.00,
,Monomer,"1,5-pentanediol",466.36,
,Base,NaOH,232.83,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
168,Monomer,Dimethylcarbonate,813.56,
,Monomer,"1,3-Bis[2-(4-hydroxyphenyl)-2-propyl]benzene",1000.00,
,Catalyst,DMAP,3.53,
,,,,
169,Monomer,Dimethylcarbonate,3199.41,
,Monomer,"cis-2-Butene-1,4-diol",1000.00,
,Catalyst,DMAP,13.87,
,,,,
170,Monomer,Dimethylcarbonate,3704.82,
,Monomer,"1,3-Propanediol",1000.00,
,Catalyst,DMAP,16.06,
,,,,
171,Monomer,Dimethylcarbonate,2706.67,
,Monomer,"1,5-pentanediol",1000.00,
,Catalyst,DMAP,11.73,
,,,,
172,Monomer,Dimethylcarbonate,1927.82,
,Monomer,"1,8-octanediol",1000.00,
,Catalyst,DMAP,8.35,
,,,,
173,Monomer,Dimethylcarbonate,1759.13,
,Monomer,"1,9-nonanediol",1000.00,
,Catalyst,DMAP,7.62,
,,,,
174,Monomer,Dimethylcarbonate,1617.51,
,Monomer,"1,10-decanediol",1000.00,
,Catalyst,DMAP,7.01,
,,,,
175,Monomer,Dimethylcarbonate,970.86,
,Monomer,"4,4′-(alpha-Methylbenzylidene)bisphenol",1000.00,
,Catalyst,DMAP,4.21,
,,,,
176,Monomer,Dimethylcarbonate,2132.38,
,Monomer,"2,2-diethyl-1,3-propanediol",1000.00,
,Catalyst,DMAP,9.24,
,,,,
177,Monomer,Dimethylcarbonate,2706.73,
,Monomer,"2,2-Dimethyl-1,3-propanediol",1000.00,
,Catalyst,DMAP,11.73,
,,,,
178,Monomer,Dimethylcarbonate,1436.14,
,Monomer,"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.02,6]decane",1000.00,
,Catalyst,DMAP,6.22,
,,,,
179,Monomer,Dimethylcarbonate,2426.86,
,Monomer,"1,4-cyclohexanediol",1000.00,
,Catalyst,DMAP,10.52,
,,,,
180,Monomer,Dimethylcarbonate,2656.43,
,Monomer,diethylene glycol,1000.00,
,Catalyst,DMAP,11.51,
,,,,
181,Monomer,Dimethylcarbonate,1012.86,
,Monomer,"4,4′-Sulfonylbis(2-methylphenol)",1000.00,
,Catalyst,DMAP,4.39,
,,,,
182,Monomer,Dimethylcarbonate,1827.55,
,Monomer,2-Hydroxyethyl disulfide,1000.00,
,Catalyst,DMAP,7.92,
,,,,
183,Monomer,Dimethylcarbonate,1172.73,
,Monomer,"4,4′-Isopropylidenedicyclohexanol",1000.00,
,Catalyst,DMAP,5.08,
,,,,
184,Monomer,Dimethylcarbonate,2101.02,
,Monomer,dipropylene glycol,1000.00,
,Catalyst,DMAP,9.11,
,,,,
185,Monomer,Dimethylcarbonate,1760.00,
,Monomer,"Naphthalene-1,5-diol",1000.00,
,Catalyst,DMAP,7.63,
,,,,
186,Monomer,Dimethylcarbonate,1760.00,
,Monomer,"2,7-Naphthalenediol",1000.00,
,Catalyst,DMAP,7.63,
,,,,
187,Monomer,Dimethylcarbonate,3274.48,
,Monomer,"2-Butyne-1,4-diol",1000.00,
,Catalyst,DMAP,14.19,
,,,,
188,Monomer,Dimethylcarbonate,1234.83,
,Monomer,Bisphenol A,1000.00,
,Catalyst,DMAP,5.35,
,,,,
189,Monomer,Dimethylcarbonate,1407.81,
,Monomer,"4,4'-Dihydroxydiphenylmethane",1000.00,
,Catalyst,DMAP,6.10,
,,,,
190,Monomer,Dimethylcarbonate,1126.38,
,Monomer,Bis(4-hydroxyphenyl) Sulfone,1000.00,
,Catalyst,DMAP,4.88,
,,,,
191,Monomer,Dimethylcarbonate,804.51,
,Monomer,"4,4′-(9-Fluorenylidene)diphenol",1000.00,
,Catalyst,DMAP,3.49,
,,,,
192,Monomer,Dimethylcarbonate,3127.98,
,Monomer,"1,4-Butanediol",1000.00,
,Catalyst,DMAP,13.56,
,,,,
193,Monomer,Dimethylcarbonate,2385.55,
,Monomer,"1,6-Hexanediol",1000.00,
,Catalyst,DMAP,10.34,
,,,,
194,Monomer,Dimethylcarbonate,3128.05,
,Monomer,"2-Methyl-1,3-propanediol",1000.00,
,Catalyst,DMAP,13.56,
,,,,
195,Monomer,Dimethylcarbonate,1759.13,
,Monomer,"2-Butyl-2-ethyl-1,3-propanediol",1000.00,
,Catalyst,DMAP,7.62,
,,,,
196,Monomer,Dimethylcarbonate,2469.77,
,Monomer,"1,5-hexadiene-3,5-diol",1000.00,
,Catalyst,DMAP,10.70,
,,,,
197,Monomer,Dimethylcarbonate,1050.49,
,Monomer,"4,4′-Cyclohexylidenebisphenol",1000.00,
,Catalyst,DMAP,4.55,
,,,,
198,Monomer,Dimethylcarbonate,984.56,
,Monomer,"(R)-(+)-1,1′-Binaphthyl-2,2′-diol",1000.00,
,Catalyst,DMAP,4.27,
,,,,
199,Monomer,Dimethylcarbonate,1291.52,
,Monomer,"4,4′-Thiodiphenol",1000.00,
,Catalyst,DMAP,5.60,
,,,,
200,Monomer,Dimethylcarbonate,1422.16,
,Monomer,Guaiacol glyceryl ether,1000.00,
,Catalyst,DMAP,6.16,
,,,,
201,Monomer,Dimethylcarbonate,2307.06,
,Monomer,"2,2′-Thiodiethanol",1000.00,
,Catalyst,DMAP,10.00,
,,,,
202,monomer,Diglycolic acid,1135.58,
,monomer,ethylene glycol,630.74,
,catalyst,Ti(Opr)4,2.40,
,,,,
203,monomer,Diglycolic acid,1135.58,
,monomer,"1,10-decanediol",1475.82,
,catalyst,Ti(Opr)4,2.40,
,,,,
204,monomer,Diglycolic acid,1135.58,
,monomer,"1,2-Propanediol",773.31,
,catalyst,Ti(Opr)4,2.40,
,,,,
205,monomer,Diglycolic acid,1135.58,
,monomer,"1,3-Propanediol",708.77,
,catalyst,Ti(Opr)4,2.40,
,,,,
206,monomer,Diglycolic acid,1135.58,
,monomer,"1,4-Butanediol",801.30,
,catalyst,Ti(Opr)4,2.40,
,,,,
207,monomer,Diglycolic acid,1135.58,
,monomer,"1,5-pentanediol",881.95,
,catalyst,Ti(Opr)4,2.40,
,,,,
208,monomer,Diglycolic acid,1135.58,
,monomer,"1,6-Hexanediol",1000.68,
,catalyst,Ti(Opr)4,2.40,
,,,,
209,monomer,Diglycolic acid,1135.58,
,monomer,"3-methyl-1,5-pentanediol",1000.68,
,catalyst,Ti(Opr)4,2.40,
,,,,
210,monomer,Diglycolic acid,1135.58,
,monomer,"1,7-heptanediol",1119.49,
,catalyst,Ti(Opr)4,2.40,
,,,,
211,monomer,Diglycolic acid,1135.58,
,monomer,"1,8-octanediol",1238.29,
,catalyst,Ti(Opr)4,2.40,
,,,,
212,monomer,Diglycolic acid,1135.58,
,monomer,"1,9-nonanediol",1357.02,
,catalyst,Ti(Opr)4,2.40,
,,,,
213,monomer,"2,2′-Thiodiacetic acid",1271.49,
,monomer,"3-methyl-1,5-pentanediol",1000.68,
,catalyst,Ti(Opr)4,2.40,
,,,,
214,monomer,"2,2′-Thiodiacetic acid",1271.49,
,monomer,"1,10-decanediol",1475.82,
,catalyst,Ti(Opr)4,2.40,
,,,,
215,monomer,[(Carboxymethyl)(methyl)amino]acetic acid,1244.81,
,monomer,"1,4-Butanediol",801.30,
,catalyst,Ti(Opr)4,2.40,
,,,,
216,monomer,[(Carboxymethyl)(methyl)amino]acetic acid,1244.81,
,monomer,"1,6-Hexanediol",1000.68,
,catalyst,Ti(Opr)4,2.40,
,,,,
217,monomer,[(Carboxymethyl)(methyl)amino]acetic acid,1244.81,
,monomer,"3-methyl-1,5-pentanediol",1000.68,
,catalyst,Ti(Opr)4,2.40,
,,,,
218,monomer,[(Carboxymethyl)(methyl)amino]acetic acid,1244.81,
,monomer,"1,10-decanediol",1475.82,
,catalyst,Ti(Opr)4,2.40,
,,,,
219,monomer,"2,2′-Thiodiacetic acid",1271.49,
,monomer,ethylene glycol,630.74,
,catalyst,Ti(Opr)4,2.40,
,,,,
220,monomer,"2,2′-Thiodiacetic acid",1271.49,
,monomer,"1,4-Butanediol",801.30,
,catalyst,Ti(Opr)4,2.40,
,,,,
221,monomer,"2,2′-Thiodiacetic acid",1271.49,
,monomer,"1,6-Hexanediol",1000.68,
,catalyst,Ti(Opr)4,2.40,
,,,,
222,monomer,Adipic acid,1237.53,
,monomer,"2,2-Diethyl-1,3-propanediol",1231.43,
,catalyst,Ti(Opr)4,2.40,
,,,,
223,monomer,Adipic acid,1237.53,
,monomer,"1,2-Propanediol",773.31,
,catalyst,Ti(Opr)4,2.40,
,,,,
224,monomer,Adipic acid,1237.53,
,monomer,"2-Methyl-1,3-propanediol",839.46,
,catalyst,Ti(Opr)4,2.40,
,,,,
225,monomer,Adipic acid,1237.53,
,monomer,"2-Butyl-2-ethyl-1,3-propanediol",1424.69,
,catalyst,Ti(Opr)4,2.40,
,,,,
226,monomer,Adipic acid,1237.53,
,monomer,"2,2,4-Trimethyl-1,3-pentanediol",1300.21,
,catalyst,Ti(Opr)4,2.40,
,,,,
227,monomer,Adipic acid,1237.53,
,monomer,"2,2-Dimethyl-1,3-propanediol",926.05,
,catalyst,Ti(Opr)4,2.40,
,,,,
228,monomer,Adipic acid,1237.53,
,monomer,"1,4-Cyclohexanedimethanol",1282.25,
,catalyst,Ti(Opr)4,2.40,
,,,,
229,monomer,Adipic acid,1237.53,
,monomer,"4,4′-Isopropylidenedicyclohexanol, mixture of isomers",2035.74,
,catalyst,Ti(Opr)4,2.40,
,,,,
230,monomer,Adipic acid,1237.53,
,monomer,"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.02,6]decane",1662.29,
,catalyst,Ti(Opr)4,2.40,
,,,,
231,monomer,Adipic acid,1237.53,
,monomer,"2-Butyne-1,4-diol",874.93,
,catalyst,Ti(Opr)4,2.40,
,,,,
232,monomer,Adipic acid,1237.53,
,monomer,"2,3-Butanediol",839.46,
,catalyst,Ti(Opr)4,2.40,
,,,,
233,monomer,Succinic acid,1000.00,
,monomer,Resorcinol,932.34,
,catalyst,Ti(Opr)4,2.40,
,,,,
234,monomer,Adipic acid,1237.53,
,monomer,"1,4-Cyclohexanediol",1033.20,
,catalyst,Ti(Opr)4,2.40,
,,,,
235,monomer,Adipic acid,1237.53,
,monomer,Resorcinol,1101.03,
,catalyst,Ti(Opr)4,2.40,
,,,,
236,monomer,Succinic acid,1000.00,
,monomer,"2,3-Butanediol",839.46,
,catalyst,Ti(Opr)4,2.40,
,,,,
237,monomer,Succinic acid,1000.00,
,monomer,"1,4-Cyclohexanediol",1033.20,
,catalyst,Ti(Opr)4,2.40,
,,,,
238,monomer,Succinic acid,1000.00,
,monomer,"cis-2-Butene-1,4-diol",783.43,
,catalyst,Ti(Opr)4,2.40,
,,,,
239,monomer,Succinic acid,1000.00,
,monomer,"2,2-Diethyl-1,3-propanediol",1231.43,
,catalyst,Ti(Opr)4,2.40,
,,,,
240,monomer,Suberic Acid,1475.06,
,monomer,"1,4-Cyclohexanedimethanol",1221.19,
,catalyst,Ti(Opr)4,2.40,
,,,,
241,monomer,Succinic acid,1000.00,
,monomer,"2-Methyl-1,3-propanediol",839.46,
,catalyst,Ti(Opr)4,2.40,
,,,,
242,monomer,Succinic acid,1000.00,
,monomer,"2-Butyl-2-ethyl-1,3-propanediol",1424.69,
,catalyst,Ti(Opr)4,2.40,
,,,,
243,monomer,Succinic acid,1000.00,
,monomer,"2,2,4-Trimethyl-1,3-pentanediol",1300.21,
,catalyst,Ti(Opr)4,2.40,
,,,,
244,monomer,Succinic acid,1000.00,
,monomer,"2,2-Dimethyl-1,3-propanediol",926.05,
,catalyst,Ti(Opr)4,2.40,
,,,,
245,monomer,Succinic acid,1000.00,
,monomer,"1,4-Cyclohexanedimethanol",1282.25,
,catalyst,Ti(Opr)4,2.40,
,,,,
246,monomer,Succinic acid,1000.00,
,monomer,"4,4′-Isopropylidenedicyclohexanol",2035.74,
,catalyst,Ti(Opr)4,2.40,
,,,,
247,monomer,Succinic acid,1000.00,
,monomer,"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.02,6]decane",1662.29,
,catalyst,Ti(Opr)4,2.40,
,,,,
248,monomer,Succinic acid,1000.00,
,monomer,Bisphenol A,1933.27,
,catalyst,Ti(Opr)4,2.40,
,,,,
249,monomer,[(Carboxymethyl)(methyl)amino]acetic acid,1244.81,
,monomer,"1,4-Cyclohexanedimethanol",1221.19,
,catalyst,Ti(Opr)4,2.40,
,,,,
250,monomer,"2,2′-Thiodiacetic acid",1271.49,
,monomer,"2,3-Butanediol",839.46,
,catalyst,Ti(Opr)4,2.40,
,,,,
251,monomer,"2,2′-Thiodiacetic acid",1271.49,
,monomer,Bisphenol A,1933.27,
,catalyst,Ti(Opr)4,2.40,
,,,,
252,monomer,[(Carboxymethyl)(methyl)amino]acetic acid,1244.81,
,monomer,"4,4′-Isopropylidenedicyclohexanol",2035.74,
,catalyst,Ti(Opr)4,2.40,
,,,,
253,monomer,[(Carboxymethyl)(methyl)amino]acetic acid,1244.81,
,monomer,"2-Butyl-2-ethyl-1,3-propanediol",1356.85,
,catalyst,Ti(Opr)4,2.40,
,,,,
254,monomer,[(Carboxymethyl)(methyl)amino]acetic acid,1244.81,
,monomer,Resorcinol,932.34,
,catalyst,Ti(Opr)4,2.40,
,,,,
255,monomer,[(Carboxymethyl)(methyl)amino]acetic acid,1244.81,
,monomer,"2,3-Butanediol",839.46,
,catalyst,Ti(Opr)4,2.40,
,,,,
256,monomer,"2,2′-Thiodiacetic acid",1271.49,
,monomer,"1,4-Cyclohexanedimethanol",1221.19,
,catalyst,Ti(Opr)4,2.40,
,,,,
257,monomer,"2,2′-Thiodiacetic acid",1271.49,
,monomer,"4,4′-Isopropylidenedicyclohexanol",2035.74,
,catalyst,Ti(Opr)4,2.40,
,,,,
258,monomer,"2,2′-Thiodiacetic acid",1271.49,
,monomer,"2-Butyl-2-ethyl-1,3-propanediol",1356.85,
,catalyst,Ti(Opr)4,2.40,
,,,,
259,monomer,"2,2′-Thiodiacetic acid",1271.49,
,monomer,Resorcinol,932.34,
,catalyst,Ti(Opr)4,2.40,
,,,,
260,monomer,Diglycolic acid,2271.15,
,monomer,"2,2-Diethyl-1,3-propanediol",2462.87,
,catalyst,Ti(Opr)4,2.40,
,,,,
261,monomer,Diglycolic acid,2271.15,
,monomer,Bisphenol A,2066.39,
,catalyst,Ti(Opr)4,2.40,
,,,,
262,monomer,Diglycolic acid,2271.15,
,monomer,Resorcinol,1957.91,
,catalyst,Ti(Opr)4,2.40,
,,,,
263,monomer,Diglycolic acid,2271.15,
,monomer,"2-Methyl-1,3-propanediol",1678.92,
,catalyst,Ti(Opr)4,2.40,
,,,,
264,monomer,Diglycolic acid,2271.15,
,monomer,"2-Butyl-2-ethyl-1,3-propanediol",2849.38,
,catalyst,Ti(Opr)4,2.40,
,,,,
265,monomer,Diglycolic acid,2271.15,
,monomer,"2,2,4-Trimethyl-1,3-pentanediol",2600.42,
,catalyst,Ti(Opr)4,2.40,
,,,,
266,monomer,Diglycolic acid,2271.15,
,monomer,"2,2-Dimethyl-1,3-propanediol",1852.10,
,catalyst,Ti(Opr)4,2.40,
,,,,
267,monomer,Diglycolic acid,2271.15,
,monomer,"1,4-Cyclohexanedimethanol",2442.37,
,catalyst,Ti(Opr)4,2.40,
,,,,
268,monomer,Diglycolic acid,2271.15,
,monomer,"4,4′-Isopropylidenedicyclohexanol",4071.47,
,catalyst,Ti(Opr)4,2.40,
,,,,
269,monomer,Diglycolic acid,2271.15,
,monomer,"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.02,6]decane",3324.58,
,catalyst,Ti(Opr)4,2.40,
,,,,
270,monomer,Diglycolic acid,2271.15,
,monomer,Dianhydro-D-glucitol,3866.54,
,catalyst,Ti(Opr)4,2.40,
,,,,
271,monomer,Terephthaloyl Chloride,1500.00,
,monomer,ethylene glycol,458.60,
,catalyst,pyridine,4675.40,
,,,,
272,monomer,Terephthaloyl Chloride,1500.00,
,monomer,"1,4-Butanediol",665.85,
,catalyst,pyridine,4675.40,
,,,,
273,monomer,Terephthaloyl Chloride,1500.00,
,monomer,"cis-2-Butene-1,4-diol",651.00,
,catalyst,pyridine,4675.40,
,,,,
274,monomer,Terephthaloyl Chloride,1500.00,
,monomer,"2-Methyl-1,3-propanediol",665.85,
,catalyst,pyridine,4675.40,
,,,,
275,monomer,Terephthaloyl Chloride,1500.00,
,monomer,"2-Butyl-2-ethyl-1,3-propanediol",1183.85,
,catalyst,pyridine,4675.40,
,,,,
276,monomer,Terephthaloyl Chloride,1500.00,
,monomer,"1,4-Cyclohexanedimethanol",1065.49,
,catalyst,pyridine,4675.40,
,,,,
277,monomer,Terephthaloyl Chloride,1500.00,
,monomer,"4,4′-Isopropylidenedicyclohexanol",1776.18,
,catalyst,pyridine,4675.40,
,,,,
278,monomer,Terephthaloyl Chloride,1500.00,
,monomer,Bisphenol A,1686.78,
,catalyst,pyridine,4675.40,
,,,,
279,monomer,"1,4-Cyclohexanedicarboxylic acid",1458.21,
,monomer,ethylene glycol,578.18,
,catalyst,Ti(Opr)4,2.40,
,,,,
280,monomer,"1,4-Cyclohexanedicarboxylic acid",1458.21,
,monomer,"2,2-Dimethyl-1,3-propanediol",899.59,
,catalyst,Ti(Opr)4,2.40,
,,,,
281,monomer,"1,4-Cyclohexanedicarboxylic acid",1458.21,
,monomer,"2-Methyl-1,3-propanediol",801.30,
,catalyst,Ti(Opr)4,2.40,
,,,,
282,monomer,"1,4-Cyclohexanedicarboxylic acid",1458.21,
,monomer,"1,4-Butanediol",801.30,
,catalyst,Ti(Opr)4,2.40,
,,,,
283,monomer,"1,4-Cyclohexanedicarboxylic acid",1458.21,
,monomer,"3-methyl-1,5-pentanediol",1020.69,
,catalyst,Ti(Opr)4,2.40,
,,,,
284,monomer,"1,4-Cyclohexanedicarboxylic acid",1458.21,
,monomer,"1,10-decanediol",1475.82,
,catalyst,Ti(Opr)4,2.40,
,,,,
285,monomer,"1,4-Cyclohexanedicarboxylic acid",1458.21,
,monomer,"2-Butyl-2-ethyl-1,3-propanediol",1356.85,
,catalyst,Ti(Opr)4,2.40,
,,,,
286,monomer,"1,4-Cyclohexanedicarboxylic acid",1458.21,
,monomer,"1,4-Cyclohexanediol",1003.68,
,catalyst,Ti(Opr)4,2.40,
,,,,
287,monomer,"1,4-Cyclohexanedicarboxylic acid",1458.21,
,monomer,"1,4-Cyclohexanedimethanol",1221.19,
,catalyst,Ti(Opr)4,2.40,
,,,,
288,monomer,"1,4-Cyclohexanedicarboxylic acid",1458.21,
,monomer,"4,4′-Isopropylidenedicyclohexanol",2035.74,
,catalyst,Ti(Opr)4,2.40,
,,,,
289,monomer,"1,4-Cyclohexanedicarboxylic acid",1458.21,
,monomer,"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.02,6]decane",1662.29,
,catalyst,Ti(Opr)4,2.40,
,,,,
290,monomer,azelaic acid,1593.87,
,monomer,ethylene glycol,630.73,
,catalyst,Ti(Opr)4,2.40,
,,,,
291,monomer,pimelic acid,1356.34,
,monomer,"3-methyl-1,5-pentanediol",1000.68,
,catalyst,Ti(Opr)4,2.40,
,,,,
292,monomer,azelaic acid,1593.87,
,monomer,"1,3-Propanediol",708.77,
,catalyst,Ti(Opr)4,2.40,
,,,,
293,monomer,azelaic acid,1593.87,
,monomer,"1,4-Butanediol",801.30,
,catalyst,Ti(Opr)4,2.40,
,,,,
294,monomer,azelaic acid,1593.87,
,monomer,"1,5-pentanediol",881.95,
,catalyst,Ti(Opr)4,2.40,
,,,,
295,monomer,azelaic acid,1593.87,
,monomer,"3-methyl-1,5-pentanediol",1000.68,
,catalyst,Ti(Opr)4,2.40,
,,,,
296,monomer,azelaic acid,1593.87,
,monomer,"1,10-decanediol",1475.82,
,catalyst,Ti(Opr)4,2.40,
,,,,
297,monomer,pimelic acid,1356.34,
,monomer,ethylene glycol,630.74,
